Weapon,Picture,Weapon Type,Attack Type,Base Dmg,Cooldown Stat,Base Range,Recoil Duration,Base Crit Chance,Crit Multiplier,Amount of Projectiles,Bounces,Bounce Damage Falloff,Amount of Pierces,Base Pierce Damage Falloff,Extra Hits on Crit,Reload every x Shots,Reload Multiplier,Base Burn Damage,Burn Ticks,Base Spawn Dmg,Spawned Projectiles,Spawn Base Bounces,Spawn Base Bounce Falloff,Spawn Base Piercing,Spawn Base Piercing Falloff,Spawn Crit Mult,Spawn Base Crit Chance,Spawn Scaling,Spawn Stat,1 Flat Scaling,2 Flat Scaling,3 Flat Scaling,Special Stat Name,Prim Stat,Prim Stat Multiplier,2 Scaling Stat,2 Scaling Stat Multiplier,3 Scaling Stat,3 Scaling Stat Multiplier,Projectile Speed,Knock- back,Accuracy,Projectile Spread,Base Price,Explosion Chance,Explosion Size,Hitbox X,Hitbox Y,Weapon Note
Spear 3,,Melee,Thrust,40,27,400,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,0,1,0,74,0,0,140,16,
Spear 4,,Melee,Thrust,60,18,500,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,0,1,0,149,0,0,140,16,
Spiky Shield 1,,Melee,Thrust,10,36,150,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0,1,,Armor,,1.0,DPS_Special_Stat,1.0,,1.0,Melee,20,1,0,15,0,0,67,52,
Spiky Shield 2,,Melee,Thrust,15,36,150,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0,1.25,,Armor,,1.0,DPS_Special_Stat,1.0,,1.0,Melee,20,1,0,31,0,0,67,52,
Spiky Shield 3,,Melee,Thrust,20,36,150,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0,1.5,,Armor,,1.0,DPS_Special_Stat,1.0,,1.0,Melee,20,1,0,61,0,0,67,52,
Spiky Shield 4,,Melee,Thrust,30,31,150,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0,2,,Armor,,1.0,DPS_Special_Stat,1.0,,1.0,Melee,20,1,0,122,0,0,67,52,
Stick 1,,Melee,Thrust,8,42,175,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,4,,Additional Sticks,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,0,1,0,10,0,0,83,18,
Stick 2,,Melee,Thrust,9,38,175,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,6,,Additional Sticks,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,0,1,0,22,0,0,83,18,
Stick 3,,Melee,Thrust,10,34,175,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,8,,Additional Sticks,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,0,1,0,45,0,0,83,18,
Stick 4,,Melee,Thrust,12,30,175,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,10,,Additional Sticks,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,0,1,0,91,0,0,83,18,
Sword 2,,Melee,Swing/Thrust,30,40,200,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,5,1,0,51,0,0,112,32,
Sword 3,,Melee,Swing/Thrust,45,31,200,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,5,1,0,95,0,0,112,32,
Sword 4,,Melee,Swing/Thrust,65,22,200,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,5,1,0,190,0,0,112,32,
Taser 1,,Ranged,Projectile,7,45,200,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,2000,0,1,0,15,0,0,Ranged,Ranged,
Taser 2,,Ranged,Projectile,7,45,200,0.1,0.03,2,2,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.7,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,2000,0,1,0.5,31,0,0,Ranged,Ranged,
Taser 3,,Ranged,Projectile,7,45,200,0.1,0.03,2,3,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.6,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,2000,0,1,0.7,61,0,0,Ranged,Ranged,
Taser 4,,Ranged,Projectile,14,45,200,0.1,0.03,2,4,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,2000,0,1,0.7,122,0,0,Ranged,Ranged,
Thief Dagger 1,,Melee,Thrust,6,27,150,0.1,0.2,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,12,0,0,72,16,
Thief Dagger 2,,Melee,Thrust,12,22,150,0.1,0.25,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,26,0,0,72,16,
Thief Dagger 3,,Melee,Thrust,18,18,150,0.1,0.3,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,52,0,0,72,16,
Thief Dagger 4,,Melee,Thrust,30,10,150,0.1,0.4,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,105,0,0,72,16,
Thunder Sword 3,,Melee,Swing,40,36,150,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,2,0,0.5,0,0.5,2,0.03,1,0,1.25,1.25,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Elemental_Damage,1.0,,1.0,Melee,5,1,0,119,0,0,112,32,
Thunder Sword 4,,Melee,Swing,75,27,150,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,4,0,0.5,0,0.5,2,0.03,1,0,1.5,1.5,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Elemental_Damage,1.0,,1.0,Melee,5,1,0,238,0,0,112,32,
Torch 1,,Melee,Swing,1,31,175,0.1,0,1.5,1,0,0.5,0,0.5,0,0,0,3,3,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.5,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Elemental_Damage,1.0,,1.0,Melee,20,1,0,10,0,0,72,15.5,
Torch 2,,Melee,Swing,1,27,175,0.1,0,1.5,1,0,0.5,0,0.5,0,0,0,5,5,0,0,0,0.5,0,0.5,2,0.03,0,0,0.65,0.65,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Elemental_Damage,1.0,,1.0,Melee,20,1,0,22,0,0,72,15.5,
Torch 3,,Melee,Swing,1,22,175,0.1,0,1.5,1,0,0.5,0,0.5,0,0,0,8,6,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,0.8,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Elemental_Damage,1.0,,1.0,Melee,20,1,0,45,0,0,72,15.5,
Torch 4,,Melee,Swing,1,13,175,0.1,0,1.5,1,0,0.5,0,0.5,0,0,0,12,9,0,0,0,0.5,0,0.5,2,0.03,0,0,1,1,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Elemental_Damage,1.0,,1.0,Melee,20,1,0,91,0,0,72,15.5,
Wand 1,,Ranged,Projectile,1,40,350,0.1,0,2,1,0,0.5,1,0.5,0,0,0,3,3,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,2000,10,1,0,10,0,0,Ranged,Ranged,
Wand 2,,Ranged,Projectile,1,35,375,0.1,0,2,1,0,0.5,1,0.5,0,0,0,5,5,0,0,0,0.5,0,0.5,2,0.03,0,0,0.65,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,2000,10,1,0,22,0,0,Ranged,Ranged,
Wand 3,,Ranged,Projectile,1,30,400,0.1,0,2,1,0,0.5,1,0.5,0,0,0,8,6,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,2000,10,1,0,45,0,0,Ranged,Ranged,
Wand 4,,Ranged,Projectile,1,20,425,0.1,0,2,1,0,0.5,1,0.5,0,0,0,12,9,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Elemental_Damage,1.0,,1.0,,1.0,2000,10,1,0,91,0,0,Ranged,Ranged,
Wrench 1,,Melee,Swing,12,67,175,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,20,1,0,20,0,0,88,32,
Wrench 2,,Melee,Swing,16,63,175,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,20,1,0,39,0,0,88,32,
Wrench 3,,Melee,Swing,20,58,175,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,20,1,0,74,0,0,88,32,
Wrench 4,,Melee,Swing,24,54,175,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,20,1,0,149,0,0,88,32,
DLC Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Special Scaling,,1.0,,1.0,,1.0,,,,,,,,,,
Anchor 2,,Melee,Swing,45,80,175,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,0.75,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Curse,1.0,,1.0,Melee,10,1,0,48,0,0,86,32,
Anchor 3,,Melee,Swing,70,75,200,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1.25,1,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Curse,1.0,,1.0,Melee,10,1,0,90,0,0,86,32,
Anchor 4,,Melee,Swing,110,70,225,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1.5,1.25,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Curse,1.0,,1.0,Melee,10,1,0,175,0,0,86,32,
Brick 1,,Melee,Swing,30,50,150,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.5,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Engineering,1.0,,1.0,Melee,5,1,0,6,0,0,65.5,16,
Brick 2,,Melee,Swing,60,50,150,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.65,0.65,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Engineering,1.0,,1.0,Melee,5,1,0,14,0,0,65.5,16,
Brick 3,,Melee,Swing,90,50,150,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,0.8,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Engineering,1.0,,1.0,Melee,5,1,0,22,0,0,65.5,16,
Brick 4,,Melee,Swing,120,50,150,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,1,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Engineering,1.0,,1.0,Melee,5,1,0,40,0,0,65.5,16,
Captain's Sword 3,,Melee,Swing/Thrust,50,25,200,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,1,15,Empty Weapon Slots,DPS_Melee_Damage,1.0,DPS_Curse,1.0,DPS_Special_Stat,1.0,Melee,5,1,0,110,0,0,112,32,
Captain's Sword 4,,Melee,Swing/Thrust,80,20,200,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1.25,1.25,30,Empty Weapon Slots,DPS_Melee_Damage,1.0,DPS_Curse,1.0,DPS_Special_Stat,1.0,Melee,5,1,0,210,0,0,112,32,
Chainsaw 3,,Melee,Thrust,10,2,175,0.1,0.03,1.5,1,0,0.5,0,0.5,0,30,40,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.75,0.75,0.75,Life Steal,DPS_Melee_Damage,1.0,DPS_Engineering,1.0,DPS_Special_Stat,1.0,Melee,0,1,0,112,0,0,80.5,24,The Health Percentage Damage isn't included in these calculations. The chainsaw has an innate 15%/30% life steal. This doesn't contribute to its DPS. Only the Life steal stat itself is counted towards the damage. Chainsaw also is the only reloading melee weapon.
Chainsaw 4,,Melee,Thrust,20,2,200,0.1,0.03,1.5,1,0,0.5,0,0.5,0,40,30,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,1,1,Life Steal,DPS_Melee_Damage,1.0,DPS_Engineering,1.0,DPS_Special_Stat,1.0,Melee,0,1,0,242,0,0,80.5,24,The Health Percentage Damage isn't included in these calculations. The chainsaw has an innate 15%/30% life steal. This doesn't contribute to its DPS. Only the Life steal stat itself is counted towards the damage. Chainsaw also is the only reloading melee weapon.
Hiking Pole 1,,Melee,Thrust,12,50,175,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.1,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Range_Stat,1.0,,1.0,Melee,0,1,0,17,0,0,92,20.5,
Hiking Pole 2,,Melee,Thrust,18,45,175,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.12,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Range_Stat,1.0,,1.0,Melee,0,1,0,34,0,0,92,20.5,
Hiking Pole 3,,Melee,Thrust,24,40,175,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.15,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Range_Stat,1.0,,1.0,Melee,0,1,0,66,0,0,92,20.5,
Hiking Pole 4,,Melee,Thrust,30,35,175,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.2,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Range_Stat,1.0,,1.0,Melee,0,1,0,130,0,0,92,20.5,
Lute 1,,Melee,Swing,4,45,150,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.1,,Luck,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,2,1,0,15,0,0,73.5,21.5,
Lute 2,,Melee,Swing,8,40,175,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.15,,Luck,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,2,1,0,31,0,0,73.5,21.5,
Lute 3,,Melee,Swing,12,35,200,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.2,,Luck,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,2,1,0,61,0,0,73.5,21.5,
Lute 4,,Melee,Swing,16,30,225,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.25,,Luck,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,2,1,0,122,0,0,73.5,21.5,
Mace 2,,Melee,Swing,40,50,150,0.1,0.04,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,-0.5,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Attack_Speed,100.0,,1.0,Melee,5,1,0,46,0,0,88,32,
Mace 3,,Melee,Swing,60,45,150,0.1,0.08,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,-0.75,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Attack_Speed,100.0,,1.0,Melee,5,1,0,92,0,0,88,32,
Mace 4,,Melee,Swing,100,40,150,0.1,0.12,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,-1,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Attack_Speed,100.0,,1.0,Melee,5,1,0,185,0,0,88,32,
Sickle 1,,Melee,Swing,5,20,125,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,0.1,,Harvesting,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,2,1,0,15,0,0,74,28,
Sickle 2,,Melee,Swing,8,17,125,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,0.15,,Harvesting,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,2,1,0,31,0,0,74,28,
Sickle 3,,Melee,Swing,12,14,125,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,0.2,,Harvesting,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,2,1,0,61,0,0,74,28,
Sickle 4,,Melee,Swing,15,10,125,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,0.25,,Harvesting,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,2,1,0,122,0,0,74,28,
Spoon 1,,Melee,Swing,10,30,150,0.1,0,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.15,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Max_HP,1.0,,1.0,Melee,2,1,0,15,0,0,72,16,Attacks always crit against Burning targets.
Spoon 2,,Melee,Swing,15,25,165,0.1,0,2.25,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.2,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Max_HP,1.0,,1.0,Melee,2,1,0,31,0,0,72,16,Attacks always crit against Burning targets.
Spoon 3,,Melee,Swing,20,20,180,0.1,0,2.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.25,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Max_HP,1.0,,1.0,Melee,2,1,0,61,0,0,72,16,Attacks always crit against Burning targets.
Spoon 4,,Melee,Swing,25,15,200,0.1,0,3,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.25,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Max_HP,1.0,,1.0,Melee,2,1,0,122,0,0,72,16,Attacks always crit against Burning targets.
Trident 2,,Melee,Thrust,30,50,325,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,0.15,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Curse,1.0,,1.0,Melee,0,1,0,49,0,0,139.5,25,
Trident 3,,Melee,Thrust,50,45,325,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,0.3,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Curse,1.0,,1.0,Melee,0,1,0,96,0,0,139.5,25,
Trident 4,,Melee,Thrust,80,40,325,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,0.5,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Curse,1.0,,1.0,Melee,0,1,0,200,0,0,139.5,25,
War Hammer 3,,Melee,Swing,100,90,200,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1.5,1.5,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Engineering,1.0,,1.0,Melee,20,1,0,130,0,0,84,32,Resets structure cooldowns on attack.
War Hammer 4,,Melee,Swing,200,80,200,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,2,2,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Engineering,1.0,,1.0,Melee,25,1,0,255,0,0,84,32,Resets structure cooldowns on attack.
Blunderbuss 2,,Ranged,Projectile,22,300,325,0.1,0.03,2,1,0,0.5,2,0.25,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1.1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,10,0.9,0,45,0,0,Ranged,Ranged,Picking up a material only resets one Blunderbuss. So avoid having more than 1-2 blunderbusses. That would be a blunder.
Blunderbuss 3,,Ranged,Projectile,45,300,350,0.1,0.03,2.25,1,0,0.5,2,0.25,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1.35,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,20,0.9,0,95,0,0,Ranged,Ranged,Picking up a material only resets one Blunderbuss. So avoid having more than 1-2 blunderbusses. That would be a blunder.
Blunderbuss 4,,Ranged,Projectile,70,300,375,0.1,0.03,2.5,1,0,0.5,2,0.25,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1.7,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,30,0.9,0,192,0,0,Ranged,Ranged,Picking up a material only resets one Blunderbuss. So avoid having more than 1-2 blunderbusses. That would be a blunder.
Flute 1,,Ranged,Projectile,6,50,300,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.1,,Luck,DPS_Ranged_Damage,1.0,DPS_Special_Stat,1.0,,1.0,2000,0,1,0,20,0,0,Ranged,Ranged,
Flute 2,,Ranged,Projectile,8,45,325,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.15,,Luck,DPS_Ranged_Damage,1.0,DPS_Special_Stat,1.0,,1.0,2000,0,1,0,45,0,0,Ranged,Ranged,
Flute 3,,Ranged,Projectile,11,40,350,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.2,,Luck,DPS_Ranged_Damage,1.0,DPS_Special_Stat,1.0,,1.0,2000,0,1,0,80,0,0,Ranged,Ranged,
Flute 4,,Ranged,Projectile,15,35,375,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.25,,Luck,DPS_Ranged_Damage,1.0,DPS_Special_Stat,1.0,,1.0,2000,0,1,0,165,0,0,Ranged,Ranged,
Grenade Launcher 2,,Ranged,Projectile,12,10,350,0.1,0.05,2.5,1,1,0,0,0.5,0,2,21,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2000,0,0.8,0,58,1,0.75,Ranged,Ranged,
Grenade Launcher 3,,Ranged,Projectile,18,10,400,0.1,0.1,3,1,1,0,0,0.5,0,3,18,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2000,0,0.8,0,108,1,0.75,Ranged,Ranged,
Grenade Launcher 4,,Ranged,Projectile,30,10,450,0.1,0.2,3.5,1,1,0,0,0.5,0,4,15,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2000,0,0.8,0,212,1,0.75,Ranged,Ranged,
Harpoon Gun 2,,Ranged,Projectile,5,25,800,0.2,0.03,1.5,1,0,0.5,3,0.25,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,1,,Special Scaling,DPS_Ranged_Damage,1.0,DPS_Melee_Damage,1.0,,1.0,3000,-30,1,0,50,0,0,Ranged,Ranged,
Harpoon Gun 3,,Ranged,Projectile,10,20,850,0.2,0.03,1.5,1,0,0.5,4,0.25,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,1,,Special Scaling,DPS_Ranged_Damage,1.0,DPS_Melee_Damage,1.0,,1.0,3000,-30,1,0,105,0,0,Ranged,Ranged,
Harpoon Gun 4,,Ranged,Projectile,20,15,900,0.2,0.03,1.5,1,0,0.5,5,0.25,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,1,,Special Scaling,DPS_Ranged_Damage,1.0,DPS_Melee_Damage,1.0,,1.0,3000,-30,1,0,220,0,0,Ranged,Ranged,
Javelin 1,,Ranged,Projectile,8,60,350,0.1,0,2.5,1,0,0.5,2,0.25,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,2000,0,1,0,18,0,0,Ranged,Ranged,
Javelin 2,,Ranged,Projectile,12,55,375,0.1,0,2.75,1,0,0.5,3,0.25,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,2000,0,1,0,36,0,0,Ranged,Ranged,
